,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
66,Haryana Delhi & Chandigarh,1967,0.0,2.4,43.4,0.9,13.0,33.1,224.3,336.0,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5,0,11.033333333333333,20.1
67,Haryana Delhi & Chandigarh,1968,14.1,15.9,17.3,0.0,2.3,28.3,211.2,90.1,0.1,7.0,0.0,2.0,388.3,30.0,19.6,329.6,9.1,0,9.433333333333334,26.0
68,Haryana Delhi & Chandigarh,1969,1.5,6.8,9.7,3.6,21.0,11.3,130.9,132.7,158.8,0.3,0.6,0.0,477.2,8.3,34.3,433.7,1.0,0,3.766666666666667,9.7
69,Haryana Delhi & Chandigarh,1970,35.4,35.4,9.4,0.0,11.5,67.2,65.7,207.9,104.9,0.8,0.0,0.0,538.2,70.8,20.9,445.7,0.8,0,22.400000000000002,55.7
70,Haryana Delhi & Chandigarh,1971,17.0,18.9,1.1,7.5,58.7,61.3,148.4,259.2,51.6,11.3,1.8,0.0,636.8,35.9,67.4,520.5,13.1,0,20.433333333333334,2.5999999999999943
71,Haryana Delhi & Chandigarh,1972,6.8,12.1,5.6,11.6,0.1,24.9,137.1,186.0,12.6,7.7,33.1,3.2,440.8,18.9,17.4,360.6,44.0,0,8.299999999999999,24.799999999999997
72,Haryana Delhi & Chandigarh,1973,15.8,5.2,3.2,0.5,32.9,75.1,118.3,189.8,57.6,19.7,0.0,9.0,527.2,21.0,36.7,440.8,28.6,0,25.03333333333333,42.199999999999996
73,Haryana Delhi & Chandigarh,1974,0.5,1.3,1.6,0.9,4.6,37.9,201.5,94.5,12.2,16.4,0.0,13.5,384.9,1.8,7.0,346.1,29.9,0,12.633333333333333,33.3
74,Haryana Delhi & Chandigarh,1975,20.3,2.9,9.3,0.3,5.6,57.9,182.6,180.1,142.4,20.6,0.0,0.0,622.1,23.2,15.3,563.0,20.6,0,19.3,52.3
75,Haryana Delhi & Chandigarh,1976,8.8,23.1,6.8,2.7,32.4,80.2,216.2,317.4,38.0,0.2,0.1,0.8,726.7,31.8,41.9,651.8,1.1,0,26.733333333333334,47.800000000000004
76,Haryana Delhi & Chandigarh,1977,50.1,1.5,0.8,22.8,23.6,50.6,288.4,165.7,118.3,8.4,0.5,9.4,740.1,51.6,47.2,623.1,18.3,0,16.866666666666667,27.0
77,Haryana Delhi & Chandigarh,1978,0.2,24.8,51.7,4.2,1.5,71.5,202.7,184.8,104.5,2.1,2.8,0.5,651.1,25.0,57.4,563.4,5.3,0,23.833333333333332,70.0
78,Haryana Delhi & Chandigarh,1979,23.2,45.5,10.7,3.5,30.0,33.6,122.7,39.7,19.9,3.6,2.8,6.3,341.5,68.7,44.1,215.9,12.7,0,11.200000000000001,3.6000000000000014
79,Haryana Delhi & Chandigarh,1980,5.8,2.3,22.0,0.4,8.9,45.5,236.5,102.0,50.2,13.4,4.9,21.4,513.2,8.0,31.2,434.3,39.7,0,15.166666666666666,36.6
80,Haryana Delhi & Chandigarh,1981,25.7,13.3,34.6,0.5,18.0,63.3,196.7,63.7,34.7,0.1,42.1,0.6,493.4,39.0,53.2,358.4,42.9,0,21.099999999999998,45.3
