,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
33,Chhattisgarh,1934,1.8,0.0,1.5,11.5,0.0,263.1,412.0,483.4,305.3,37.0,12.3,1.1,1529.2,1.8,13.0,1463.9,50.5,0,87.7,263.1
34,Chhattisgarh,1935,12.2,17.9,5.1,33.4,4.1,132.2,562.1,247.2,247.6,3.8,0.0,3.6,1269.2,30.1,42.7,1189.1,7.3,0,44.06666666666666,128.1
35,Chhattisgarh,1936,31.9,44.7,14.6,4.3,46.6,413.1,463.8,434.5,258.0,90.4,18.2,6.1,1826.2,76.6,65.5,1569.4,114.7,0,137.70000000000002,366.5
36,Chhattisgarh,1937,0.0,66.2,21.5,76.3,19.2,222.6,501.0,391.9,237.0,79.8,1.0,0.2,1616.8,66.2,117.0,1352.6,81.0,0,74.2,203.4
37,Chhattisgarh,1938,18.4,25.1,5.4,8.2,48.8,269.2,386.8,343.5,266.7,126.6,7.0,0.1,1505.8,43.5,62.3,1266.3,133.7,0,89.73333333333333,220.39999999999998
38,Chhattisgarh,1939,6.5,22.8,53.2,19.9,1.1,188.6,427.5,478.6,198.3,79.3,4.6,0.0,1480.3,29.3,74.2,1293.0,83.9,0,62.86666666666667,187.5
39,Chhattisgarh,1940,0.2,23.0,31.1,26.4,41.5,218.6,542.9,395.6,72.8,67.2,4.9,24.3,1448.4,23.2,98.9,1229.8,96.4,0,72.86666666666666,177.1
40,Chhattisgarh,1941,20.8,13.8,18.4,3.3,27.1,240.8,218.6,238.7,146.0,70.9,6.5,0.2,1005.1,34.6,48.8,844.1,77.6,0,80.26666666666667,213.70000000000002
41,Chhattisgarh,1942,13.1,48.2,7.5,18.7,17.7,164.1,540.7,470.7,289.6,23.9,1.6,2.3,1598.3,61.3,44.0,1465.2,27.8,0,54.699999999999996,146.4
42,Chhattisgarh,1943,99.5,5.1,1.0,19.5,32.1,214.2,459.7,386.5,373.6,52.8,1.0,0.0,1645.1,104.6,52.6,1434.1,53.8,0,71.39999999999999,182.1
43,Chhattisgarh,1944,24.4,78.3,102.9,25.0,11.1,101.3,611.7,439.8,247.7,142.8,7.5,0.1,1792.7,102.7,139.0,1400.5,150.4,0,33.766666666666666,90.2
44,Chhattisgarh,1945,30.1,7.6,0.0,58.6,7.0,200.7,428.5,397.2,376.6,71.9,6.4,0.9,1585.6,37.8,65.6,1403.0,79.3,0,66.89999999999999,193.7
45,Chhattisgarh,1946,0.0,11.0,2.3,35.3,25.3,307.9,419.9,522.5,181.6,63.9,29.0,0.4,1599.0,11.0,62.8,1431.9,93.3,0,102.63333333333333,282.59999999999997
46,Chhattisgarh,1947,31.0,29.9,12.0,6.7,9.7,140.1,510.6,476.4,283.2,80.0,4.5,15.6,1599.6,60.9,28.4,1410.2,100.1,0,46.699999999999996,130.4
47,Chhattisgarh,1948,31.0,8.0,14.2,21.5,11.6,216.0,390.1,423.7,246.9,42.3,86.4,0.0,1491.7,39.0,47.4,1276.7,128.7,0,72.0,204.4
48,Chhattisgarh,1949,1.2,7.6,4.0,9.9,61.5,181.7,381.0,412.3,280.3,159.8,0.0,0.2,1499.6,8.8,75.4,1255.4,160.0,0,60.56666666666666,120.19999999999999
49,Chhattisgarh,1950,0.4,40.1,50.9,1.3,10.0,172.4,457.2,374.7,148.9,16.7,19.6,0.0,1292.2,40.5,62.2,1153.2,36.3,0,57.46666666666667,162.4
50,Chhattisgarh,1951,4.5,2.8,102.3,59.8,34.5,145.1,338.4,459.4,166.5,96.8,1.5,0.0,1411.6,7.3,196.6,1109.4,98.2,0,48.36666666666667,110.6
51,Chhattisgarh,1952,1.2,20.0,18.8,18.2,23.4,120.8,439.4,385.8,304.0,62.8,0.0,2.0,1396.4,21.2,60.4,1250.0,64.8,0,40.266666666666666,97.4
52,Chhattisgarh,1953,24.3,5.1,0.1,22.7,5.8,140.8,421.3,483.6,209.1,55.0,2.4,0.0,1370.2,29.4,28.6,1254.8,57.4,0,46.93333333333334,135.0
53,Chhattisgarh,1954,2.7,2.2,4.4,11.7,6.5,114.9,314.0,358.1,361.4,12.5,0.0,5.4,1193.7,4.9,22.5,1148.4,17.8,0,38.300000000000004,108.4
54,Chhattisgarh,1955,15.1,1.2,3.2,13.5,23.3,242.1,283.1,406.0,276.6,174.2,2.4,0.0,1440.7,16.3,39.9,1207.8,176.6,0,80.7,218.79999999999998
55,Chhattisgarh,1956,2.2,13.9,7.1,3.0,68.4,278.0,468.5,404.3,227.3,69.6,10.7,4.0,1557.0,16.1,78.5,1378.1,84.2,0,92.66666666666667,209.6
56,Chhattisgarh,1957,14.8,10.4,48.7,17.0,16.2,114.8,449.7,416.7,105.8,28.3,0.0,0.0,1222.4,25.1,82.0,1087.0,28.3,0,38.266666666666666,98.6
57,Chhattisgarh,1958,9.5,38.8,21.6,17.1,19.2,101.2,509.4,376.0,265.8,133.0,29.3,0.0,1520.9,48.3,57.9,1252.5,162.3,0,33.733333333333334,82.0
58,Chhattisgarh,1959,32.0,3.3,0.2,3.6,15.5,180.4,408.9,473.1,357.9,69.0,0.1,0.3,1544.2,35.2,19.3,1420.3,69.4,0,60.13333333333333,164.9
