,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
82,Sub Himalayan West Bengal & Sikkim,1983,26.7,56.9,35.3,87.7,335.3,557.9,758.4,295.6,535.8,125.1,3.2,20.8,2838.8,83.7,458.3,2147.6,149.1,0,185.96666666666667,222.59999999999997
83,Sub Himalayan West Bengal & Sikkim,1984,29.3,11.3,42.6,127.3,360.1,474.6,737.2,364.8,405.5,179.1,5.1,11.5,2748.4,40.6,530.0,1982.1,195.7,0,158.20000000000002,114.5
84,Sub Himalayan West Bengal & Sikkim,1985,2.2,30.5,43.2,69.5,358.6,532.7,907.4,372.7,464.5,211.9,17.4,27.3,3037.9,32.8,471.2,2277.3,256.6,0,177.5666666666667,174.10000000000002
85,Sub Himalayan West Bengal & Sikkim,1986,1.3,5.8,7.9,122.4,152.1,436.4,545.4,363.2,493.9,215.1,15.5,6.4,2365.4,7.1,282.4,1838.9,237.0,0,145.46666666666667,284.29999999999995
86,Sub Himalayan West Bengal & Sikkim,1987,2.8,35.3,79.8,152.7,148.0,451.0,791.9,836.6,530.3,150.3,5.6,1.2,3185.5,38.1,380.6,2609.8,157.1,1,150.33333333333334,303.0
87,Sub Himalayan West Bengal & Sikkim,1988,6.8,24.6,71.2,96.5,268.8,304.9,831.7,990.5,446.6,76.0,18.4,5.5,3141.4,31.4,436.5,2573.6,99.9,1,101.63333333333333,36.099999999999966
88,Sub Himalayan West Bengal & Sikkim,1989,21.0,41.6,45.8,58.1,358.4,551.3,629.8,407.8,593.6,98.9,30.7,17.6,2854.6,62.6,462.2,2182.5,147.2,0,183.76666666666665,192.89999999999998
89,Sub Himalayan West Bengal & Sikkim,1990,3.8,109.9,80.1,158.3,358.2,554.7,814.1,916.6,440.6,115.0,0.4,13.7,3565.3,113.6,596.6,2726.0,129.1,1,184.9,196.50000000000006
90,Sub Himalayan West Bengal & Sikkim,1991,41.5,24.2,45.8,102.7,283.7,691.4,592.6,500.9,689.5,67.8,1.7,30.4,3072.4,65.7,432.3,2474.4,99.9,1,230.46666666666667,407.7
91,Sub Himalayan West Bengal & Sikkim,1992,10.0,46.7,26.0,84.0,253.4,328.1,736.3,458.0,276.4,125.5,5.0,9.5,2358.8,56.7,363.4,1798.8,140.0,0,109.36666666666667,74.70000000000002
92,Sub Himalayan West Bengal & Sikkim,1993,37.6,35.2,58.8,136.9,320.5,449.6,723.9,521.6,352.2,228.8,28.4,2.4,2895.9,72.9,516.2,2047.3,259.6,0,149.86666666666667,129.10000000000002
93,Sub Himalayan West Bengal & Sikkim,1994,49.6,55.0,114.1,126.6,243.3,388.0,357.3,396.1,302.1,84.3,8.5,2.2,2127.3,104.6,484.1,1443.6,95.0,0,129.33333333333334,144.7
94,Sub Himalayan West Bengal & Sikkim,1995,17.9,41.1,50.6,84.2,349.6,859.0,775.3,539.2,638.5,99.7,88.6,14.0,3557.8,59.0,484.5,2812.0,202.3,1,286.3333333333333,509.4
95,Sub Himalayan West Bengal & Sikkim,1996,30.9,34.2,59.5,85.0,401.7,334.6,863.6,545.1,337.9,107.3,0.4,0.0,2800.3,65.1,546.1,2081.3,107.8,0,111.53333333333335,67.09999999999997
96,Sub Himalayan West Bengal & Sikkim,1997,18.9,31.3,76.4,119.5,166.9,613.3,488.1,479.0,443.9,41.3,16.3,56.5,2551.4,50.2,362.9,2024.2,114.1,0,204.4333333333333,446.4
97,Sub Himalayan West Bengal & Sikkim,1998,13.6,37.0,125.1,154.1,254.2,653.0,854.6,860.4,478.9,209.1,13.1,2.1,3655.1,50.5,533.4,2846.8,224.3,1,217.66666666666666,398.8
98,Sub Himalayan West Bengal & Sikkim,1999,8.7,6.2,17.9,156.0,335.4,550.5,831.7,751.6,404.1,246.0,10.7,4.5,3323.3,14.9,509.3,2537.9,261.2,1,183.5,215.10000000000002
